	dev_accuracy	dev_f1	dev_precision	dev_recall
0	0.9531664456233422	0.5367816091954021	0.6551724137931034	0.504022988505747
1	0.9493534482758621	0.6228516694033935	0.5856321839080461	0.706896551724138
2	0.9477785145888594	0.6070333880678709	0.5701149425287357	0.7045977011494253
3	0.9622844827586207	0.6852216748768474	0.7408045977011494	0.707471264367816
4	0.9622844827586207	0.5954669851221577	0.6396551724137931	0.6166666666666667
5	0.9633620689655172	0.6384360849878092	0.707471264367816	0.6425287356321838
6	0.9709051724137931	0.6626809971637558	0.7183908045977012	0.6662561576354681
7	0.9665948275862069	0.6474001094690751	0.7114942528735633	0.6344827586206896
8	0.9644396551724138	0.5822660098522168	0.6293103448275862	0.5775862068965517
9	0.9536637931034483	0.582840722495895	0.603448275862069	0.6614942528735632
